size time perm
1  6 1
2  6 4
3  9 6
4  7 12
5  28 15
6  31 18
7  29 21
8  27 32
9  27 36
10  30 40
11  35 44
12  37 48
13  43 52
14  56 56
15  61 60
16  85 80
17  62 85
18  61 90
19  77 95
20  101 100
21  91 105
22  86 110
23  88 115
24  145 120
25  84 125
26  99 130
27  98 135
28  114 140
29  223 145
30  150 150
31  102 155
32  150 192
33  169 198
34  381 204
35  152 210
36  152 216
37  143 222
38  150 228
39  155 234
40  184 240
41  229 246
42  260 252
43  236 258
44  215 264
45  223 270
46  239 276
47  203 282
48  254 288
49  240 294
50  276 300
51  235 306
52  290 312
53  296 318
54  289 324
55  263 330
56  326 336
57  417 342
58  355 348
59  320 354
60  359 360
61  365 366
62  383 372
63  362 378
64  366 448
65  405 455
66  531 462
67  478 469
68  601 476
69  501 483
70  514 490
71  505 497
72  489 504
73  579 511
74  497 518
75  492 525
76  508 532
77  562 539
78  530 546
79  513 553
80  634 560
81  586 567
82  720 574
83  584 581
84  612 588
85  808 595
86  644 602
87  649 609
88  666 616
89  713 623
90  684 630
91  654 637
92  908 644
93  799 651
94  892 658
95  710 665
96  710 672
97  760 679
98  783 686
99  853 693
100  890 700
101  902 707
102  951 714
103  853 721
104  955 728
105  997 735
106  903 742
107  930 749
108  919 756
109  912 763
110  964 770
111  957 777
112  1282 784
113  1069 791
114  1170 798
115  1094 805
116  1147 812
117  1047 819
118  1084 826
119  1231 833
120  1047 840
121  1177 847
122  1457 854
123  1165 861
124  1279 868
125  1306 875
126  1346 882
127  1358 889
128  1524 1024
129  2009 1032
130  1927 1040
131  1652 1048
132  1548 1056
133  1556 1064
134  1552 1072
135  1934 1080
136  2081 1088
137  1763 1096
138  1897 1104
139  1891 1112
140  1897 1120
141  1981 1128
142  1957 1136
143  2073 1144
144  1890 1152
145  1699 1160
146  1843 1168
147  1888 1176
148  2258 1184
149  1795 1192
150  2133 1200
151  1872 1208
152  2048 1216
153  2125 1224
154  2054 1232
155  2101 1240
156  1984 1248
157  2029 1256
158  2046 1264
159  2104 1272
160  2382 1280
161  2164 1288
162  2436 1296
163  2260 1304
164  2298 1312
165  2190 1320
166  2340 1328
167  2516 1336
168  2456 1344
169  2386 1352
170  2270 1360
171  2373 1368
172  2408 1376
173  2429 1384
174  2616 1392
175  2632 1400
176  2456 1408
177  2662 1416
178  2477 1424
179  2479 1432
180  2750 1440
181  2735 1448
182  2835 1456
183  2768 1464
184  2543 1472
185  2535 1480
186  2709 1488
187  2830 1496
188  2683 1504
189  2804 1512
190  2959 1520
191  3150 1528
192  2840 1536
193  2784 1544
194  2819 1552
195  2980 1560
196  2986 1568
197  3045 1576
198  3080 1584
199  3109 1592
